time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,26.64,1011.14,17.59,0.03,-0.03,10.18,-0.04,0.02,-0.02,26.72,50.13
605,26.73,1011.15,17.53,0.03,0.02,10.18,-0.04,0.02,-0.02,26.75,50.21
1161,26.76,1011.18,17.25,0.05,-0.03,10.11,-0.04,0.02,-0.02,26.70,50.44
1717,26.77,1011.18,17.29,0.08,0.03,9.96,-0.04,0.02,-0.02,26.75,50.68
2273,26.79,1011.14,17.58,0.05,0.01,10.09,-0.04,0.02,-0.02,26.73,50.93
2829,26.79,1011.14,17.56,0.06,0.02,10.14,-0.04,0.02,-0.02,26.72,50.94
3386,26.80,1011.19,17.16,0.04,-0.01,10.13,-0.04,0.02,-0.02,26.73,50.89
3941,26.80,1011.17,17.36,0.08,-0.02,10.15,-0.04,0.02,-0.02,26.72,50.93
4496,26.80,1011.16,17.45,0.11,-0.01,10.12,-0.04,0.02,-0.02,26.69,51.03
5051,26.81,1011.20,17.05,0.04,-0.02,10.04,-0.04,0.02,-0.02,26.73,50.97
5606,26.81,1011.15,17.54,0.05,0.04,10.13,-0.04,0.02,-0.02,26.72,50.99
6161,26.81,1011.20,17.09,0.02,-0.02,10.20,-0.04,0.02,-0.02,26.72,50.90
6716,26.80,1011.16,17.43,0.11,0.01,10.12,-0.04,0.02,-0.02,26.72,50.79
7273,26.81,1011.15,17.49,0.07,0.01,10.12,-0.04,0.02,-0.02,26.70,50.70
7828,26.80,1011.14,17.62,0.02,0.04,10.11,-0.04,0.02,-0.02,26.72,50.64
8383,26.81,1011.18,17.26,0.07,-0.04,10.20,-0.04,0.02,-0.02,26.72,50.63
8938,26.81,1011.15,17.52,0.05,0.00,10.07,-0.04,0.02,-0.02,26.70,50.63
9493,26.81,1011.16,17.41,0.08,-0.07,10.06,-0.04,0.02,-0.02,26.70,50.56
10048,26.81,1011.16,17.43,0.06,-0.05,10.09,-0.04,0.02,-0.02,26.70,50.50
10603,26.82,1011.16,17.41,0.09,0.04,10.13,-0.04,0.02,-0.02,26.70,50.45
11158,26.82,1011.17,17.35,0.02,-0.04,10.10,-0.04,0.02,-0.02,26.72,50.56
11715,26.82,1011.16,17.40,0.02,-0.01,10.10,-0.04,0.02,-0.02,26.72,50.85
12270,26.82,1011.15,17.49,-0.01,-0.06,10.12,-0.03,0.03,-0.02,26.70,50.90
12825,26.82,1011.15,17.47,0.01,-0.02,10.15,-0.04,0.02,-0.02,26.70,50.87
13380,26.82,1011.17,17.33,0.09,-0.07,9.98,-0.04,0.02,-0.02,26.72,50.80
13935,26.83,1011.16,17.40,0.06,-0.08,10.17,-0.04,0.02,-0.02,26.73,50.91
14490,26.84,1011.19,17.19,0.13,0.10,10.05,-0.02,0.02,-0.03,26.69,51.38
15045,26.85,1011.21,17.04,0.09,-0.01,10.13,-0.04,0.02,-0.02,26.73,52.33
15602,26.85,1011.20,17.10,0.05,0.11,10.06,-0.05,0.03,-0.02,26.72,53.12
16157,26.86,1011.23,16.83,-0.49,-0.32,11.21,-0.15,-0.03,-0.03,26.73,53.61
16712,26.86,1011.23,16.81,-0.02,-0.03,10.19,-0.04,0.02,-0.02,26.73,54.02
17267,26.86,1011.20,17.05,-0.31,0.99,12.37,-1.12,0.39,0.37,26.73,54.22
17822,26.87,1011.21,17.03,8.29,0.03,5.66,0.59,-1.28,-0.32,26.72,54.29
18377,26.87,1011.18,17.23,9.28,1.65,3.77,-0.58,0.15,-0.30,26.73,54.04
18932,26.87,1011.17,17.34,-6.00,-0.64,8.94,-0.81,2.82,-0.40,26.72,53.81
19489,26.87,1011.20,17.06,-8.51,-1.86,4.53,-0.55,-1.04,0.51,26.76,53.70
20044,26.88,1011.19,17.15,1.35,-1.28,13.40,-0.48,2.64,-1.08,26.75,53.85
20599,26.89,1011.15,17.48,2.22,-1.88,9.72,-0.03,0.05,0.07,26.73,54.16
21154,26.88,1011.14,17.56,1.60,0.80,9.02,-0.24,1.86,-0.64,26.70,54.07
21709,26.88,1011.19,17.16,5.60,1.06,9.94,-0.37,-1.62,-0.67,26.73,53.79
22264,26.89,1011.20,17.07,2.66,1.35,8.49,-0.25,2.94,-0.38,26.75,53.53
22819,26.89,1011.20,17.08,-6.17,-0.33,6.19,-0.45,-0.20,0.27,26.76,53.49
