time_ms,temp_bme,pressure_hpa,altitude_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_sht,humidity
49,29.10,1013.70,-3.71,-1.39,-0.31,8.21,0.07,-0.02,-0.03,28.08,57.55
605,29.15,1013.72,-3.91,-1.35,-0.33,8.12,0.07,-0.01,-0.03,28.06,56.62
1160,29.16,1013.72,-3.89,-1.38,-0.28,8.22,0.06,-0.02,-0.03,28.05,55.74
1715,29.14,1013.72,-3.93,-1.41,-0.32,8.21,0.07,-0.02,-0.03,28.01,54.91
2270,29.12,1013.73,-4.01,-1.38,-0.29,8.27,0.07,-0.02,-0.03,28.02,54.30
2825,29.09,1013.73,-4.02,-1.44,-0.30,8.21,0.07,-0.02,-0.03,28.02,54.17
3382,29.07,1013.73,-4.03,-0.78,0.05,7.64,0.05,0.00,-0.03,28.00,54.01
3937,29.05,1013.73,-4.00,-1.45,-0.32,8.27,0.07,-0.03,-0.03,28.00,53.84
4492,29.03,1013.73,-4.03,-1.47,-0.37,8.31,0.07,-0.02,-0.03,27.98,53.70
5047,29.01,1013.74,-4.05,-1.41,-0.33,8.21,0.07,-0.03,-0.03,28.00,53.73
5602,28.99,1013.73,-3.96,-1.35,-0.32,8.34,0.07,-0.03,-0.03,27.98,54.17
6157,28.97,1013.71,-3.87,-1.52,-0.33,8.26,0.07,-0.02,-0.03,28.00,54.66
6712,28.95,1013.71,-3.83,-1.36,-0.31,8.24,0.06,-0.02,-0.03,27.98,55.06
7269,28.93,1013.71,-3.82,-1.36,-0.31,8.30,0.07,-0.02,-0.03,27.97,55.40
7824,28.91,1013.71,-3.79,-1.42,-0.30,8.32,0.07,-0.03,-0.03,27.95,55.55
8379,28.90,1013.70,-3.71,-1.44,-0.32,8.33,0.06,-0.02,-0.03,27.94,55.87
8934,28.89,1013.69,-3.67,-1.41,-0.25,8.29,0.07,-0.02,-0.03,27.92,56.25
9489,28.88,1013.70,-3.71,-1.40,-0.31,8.21,0.07,-0.02,-0.03,27.94,56.41
10044,28.88,1013.70,-3.77,-1.43,-0.32,8.26,0.07,-0.02,-0.03,27.91,56.26
10599,28.87,1013.70,-3.78,-1.39,-0.34,8.16,0.07,-0.02,-0.03,27.91,56.17
11156,28.86,1013.70,-3.75,-1.45,-0.32,8.25,0.07,-0.03,-0.03,27.92,56.13
11711,28.85,1013.70,-3.73,-1.32,-0.30,8.29,0.07,-0.03,-0.03,27.91,56.13
12266,28.84,1013.69,-3.63,-1.45,-0.29,8.31,0.07,-0.03,-0.03,27.91,56.11
12821,28.83,1013.69,-3.66,-1.41,-0.30,8.37,0.07,-0.02,-0.03,27.88,55.94
13376,28.82,1013.69,-3.70,-1.43,-0.31,8.26,0.07,-0.03,-0.03,27.88,55.58
13931,28.81,1013.69,-3.70,-1.34,-0.26,8.27,0.06,-0.03,-0.03,27.88,55.26
14486,28.80,1013.70,-3.79,-1.47,-0.26,8.23,0.07,-0.03,-0.03,27.87,54.93
15043,28.78,1013.72,-3.88,-1.40,-0.36,8.36,0.07,-0.02,-0.03,27.85,54.69
